Country,Mangroves,Latitude,Longitude,MIN_POINT_X,MAX_POINT_X,MIN_POINT_Y,MAX_POINT_Y
"Saint Helena, Ascension and Tristan da Cunha",0,-25.7393404,-10.48682824,-14.42111206,-5.631452083,-40.37138748,-7.889167786
Svalbard and Jan Mayen,0,78.8562049,18.46817646,-9.076562881,36.80781555,70.82499695,82.53749847
Solomon Islands,1,-8.88805986,159.5712586,155.3925018,170.1925049,-12.30833435,-4.445219994
Sierra Leone,1,8.55647574,-11.7902511,-13.3035059,-10.26575279,6.91761589,10.00043106
El Salvador,1,13.73022013,-88.8671235,-90.12486267,-87.68374634,13.15264034,14.45055103
San Marino,0,43.93905241,12.46099941,12.40066433,12.51412296,43.89465332,43.99569321
Somalia,1,6.06827856,45.86916995,40.97850037,51.41569519,-1.647081972,11.98930645
Saint Pierre and Miquelon,0,46.92984866,-56.30584539,-56.40611267,-56.12643814,46.74888992,47.14500046
Serbia,0,44.22609504,20.78200932,18.80852127,22.97898293,42.22761536,46.18939972
South Sudan,0,7.287291646,30.32140721,24.15192986,35.86994934,3.480998993,12.21899986
Sao Tome and Principe,1,0.436447378,6.716493516,6.459862232,7.462637902,-0.014027001,1.701529026
Suriname,1,4.136236747,-55.91596183,-58.08656311,-53.97749329,1.831146002,6.015139103
Slovakia,0,48.70953634,19.48343744,16.83417511,22.56791306,47.73274612,49.61380005
Slovenia,0,46.12445938,14.81810081,13.38211918,16.58431244,45.42828369,46.8782196
Sweden,0,62.77138854,16.75818701,10.96138859,24.17239571,55.3362503,69.05903625
Eswatini,0,-26.56544451,31.49820048,30.7908001,32.13669968,-27.31752014,-25.71875954
Sint Maarten,1,18.03823106,-63.06232559,-63.139431,-62.99986267,17.99986076,18.06354904
Seychelles,1,-6.769390332,51.7556818,46.20367813,56.29568481,-10.22735977,-3.712637902
Syrian Arab Republic,0,35.02460157,38.52677268,35.71625137,42.38504028,32.31068039,37.3191452
Turks and Caicos Islands,1,21.75802219,-71.82428203,-72.48319244,-71.08208466,21.17708588,21.96263885
Chad,0,15.36477473,18.6666572,13.47347546,24.00268555,7.441069126,23.45037079
Togo,1,8.530167367,0.976875236,-0.147322998,1.806692005,6.109581947,11.13898087
Thailand,1,15.1103753,101.0148022,97.34519196,105.6391296,5.616042137,20.46321106
Tajikistan,0,38.52893925,71.03752978,67.38713074,75.13722229,36.67196655,41.04224396
Tokelau,0,-9.068800796,-171.7824685,-172.5208282,-171.1813965,-9.44399643,-8.531943321
Turkmenistan,0,39.19261775,59.17901606,52.44143295,66.68430328,35.12981415,42.7955513
Timor-Leste,1,-8.820334024,125.851979,124.0446548,127.3424988,-9.504652977,-8.126944542
Tonga,1,-19.85670931,-174.821605,-176.2138367,-173.7350006,-22.34972382,-15.5657959
Trinidad and Tobago,1,10.47397943,-61.25929016,-61.93013763,-60.4920845,10.04291725,11.35958481
Tunisia,0,34.11107018,9.578886911,7.530076028,11.59825897,30.23681068,37.55986023
Turkey,0,39.05995292,35.17630521,25.66513634,44.83498764,35.81542587,42.10665512
Tuvalu,1,-7.58202955,178.0939524,176.0587463,179.8713531,-10.79187012,-5.642499924
Taiwan,1,23.75263319,120.9565861,116.7099991,122.1084747,20.69750023,26.38541985
United Republic of Tanzania,1,-6.266220191,34.82568489,29.32716751,40.44513702,-11.74569511,-0.985787511
Uganda,0,1.280967942,32.39193166,29.57149887,35.00027466,-1.482139826,4.234466076
Ukraine,0,49.00892093,31.40550893,22.14044762,40.21807098,44.38597107,52.37503433
United States Minor Outlying Islands,0,15.92313899,-98.42987645,-178.3036041,166.6575012,-0.389005989,28.40167046
Uruguay,0,-32.79322589,-56.01779217,-58.44272232,-53.09424591,-34.97402954,-30.07968903
United States,1,45.67625945,-112.470837,-179.1505585,179.773407,18.9098587,72.6875
Uzbekistan,0,41.75063679,63.17138303,55.99777603,73.13459778,37.17716599,45.57110596
Holy See (Vatican City State),0,41.90354024,12.45286091,12.44560814,12.45845127,41.90011215,41.90755081
Saint Vincent and the Grenadines,1,13.20047408,-61.20068806,-61.46097183,-61.11402893,12.5787487,13.3834734
Bolivarian Republic of Venezuela,1,7.132690551,-66.14593576,-69.63902283,-57.45384979,-22.89612961,-9.669329644
British Virgin Islands,1,18.50284489,-64.51844698,-64.8501358,-64.27041626,18.30597305,18.7495842
US Virgin Islands,1,17.97169907,-64.80277293,-65.08652496,-64.56485748,17.67291641,18.41569519
Viet Nam,1,16.64548639,106.308066,102.1445847,109.4691696,8.381355285,23.39269257
Vanuatu,1,-16.21128174,167.7211961,166.5413971,170.2402802,-20.25324059,-13.07247639
Wallis and Futuna,1,-13.76671045,-177.1054789,-178.1824951,-176.1241608,-14.36907196,-13.18283176
Samoa,1,-13.74471705,-172.1720268,-172.8041229,-171.3977051,-14.07722092,-13.43980885
Yemen,1,15.90483728,47.58275861,41.81458282,54.53541565,12.10819435,18.99999809
South Africa,1,-28.99629253,25.08690352,16.45189095,32.89125061,-34.83514023,-22.12503052
Zambia,0,-13.46227602,27.79263584,21.99937058,33.70570374,-18.0794735,-8.270876885
Zimbabwe,0,-19.00056343,29.86883798,25.23702812,33.05630112,-22.42027664,-15.60883522
